Submission Date (Central Time),ucnValue,mouseFlowPlaybackUrl,audience,email_address,Overall Rating,Comments,Feedback Categories,Subcategory
7/20/2022,,,,,5,Scolastic is Excellent in EVERY WAY.,Thanks/Praise,Thanks/Praise
7/20/2022,,,,,5,"It was the easiest time I have ever had using the book club site.  Thank you for making it easy for me to find info and place my order using bonus points.  It made me realize how fortunate we are to have free shipping during the school year when the families place orders over $25 as today I had to pay shipping, which was NO problem.",Thanks/Praise,Thanks/Praise
7/20/2022,,,,,3,Prices went up.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,Wish I could buy points to buy more teacher items. Also need better customer service on how to make sure my orders come to my school on time. Last year it took three months to get my order.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,1,I tried to send a referral link to my daughter's work email. She has her own classroom this next school year. It kept saying that it couldn't be sent. Her email address is roberta.murph@risd.org.  Maybe you could help. She could really use it.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,"I was disappointed that I placed an order over $120, but I was unable to use the Dollar Store. I could have waited until August 1st, but I was afraid I would lose the deals I had found during my visit.  Also, my free books plus money to spend appeared and then disappeared. I am not sure why. I called customer service twice and was very impressed with the quality of the employees. They were very polite and helpful.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,I am hoping to have a better experience this coming year. I ordered books last August (2021) and had issues with the payment process and didn't receive part of the order until November. Hoping that everything works out.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,I am hoping to have a better experience this coming year. I ordered books last August (2021) and had issues with the payment process and didn't receive part of the order until November. Hoping that everything works out.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,"I am disappointed that your selections online had no results for searches like ""Christian"" (other than an author), ""Jesus"" or ""prayer"". You used to have a t least a small selection of ""religious"" books online.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,"Once I entered my order it prompted me and said I had 2 rewards. One free 5 pack of books and $10 to spend right now.  However, when I clicked both links to choose my selections it only brought me to blank pages so I never go to select my rewards. (",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,1,Problems ordering books with code,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,I am an international user. The Book Club seems to be available only for US residents.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,I had a great experience here today. Last school year I stopped with Scholastic orders because there were so many shipping issues and delays. I am excited to try again this school year. I understand that because of COVID it has been hard for many companies to get started at their previous work load so hopefully now all the kinks are worked out.,Thanks/Praise,Thanks/Praise
7/20/2022,,,,,4,As a teacher I really miss the $1 books on the fliers!!,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,2,Teacher's name not on list. This is her first year teaching and I wanted to buy her some books for her classroom. I'm her grandmother.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,EASY time placing an order!!!!!,Thanks/Praise,Thanks/Praise
7/20/2022,,,,,4,"I had to adjust using my points to complete my order. I thought I had enough to use on another book set, but I did not. Hence, once at payment, I had to go all the way back to the cart to re-adjust how I distributed the points.  I wish it would automatically apply points so I can get the best deal.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,2,I feel like I have two separate accounts with the same login information because I find it difficult to shop and earn points.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,buying books to build my classroom library,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,I don’t have a teacher code and it will not let me order books for my two boys one who is 1 turn 2soon and my 14 year old,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,"Once you have an account everything is easy, setting up an account was difficult.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,"I love scholastic book club, I enjoy browsing and shopping for cute and educational book choices for my son... I can't wait to see what new books to buy and browse next.",Thanks/Praise,Thanks/Praise
7/20/2022,,,,,5,"Finding the dollar books was easy, check out was easy, and every part of ordering was a breeze! Loved the free shipping as well!",Thanks/Praise,Thanks/Praise
7/20/2022,,,,,3,It is hard to find what I need and see new books.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,2,"the selection of award winning and traditional books on this website and offered by scholastic at this time is very disappointing.  unfortunately, the woke nature of all of the material offered makes it difficult for parochial school teachers to get the materials we need and my school will not allow me to send book orders home at this time.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,I'm hoping the turn around time and lack of titles advertised has been corrected in the last year.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,I'm hoping the turn around time and lack of titles advertised has been corrected in the last year.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,"I like the variety of books, and navigating the website is pretty easy.",Thanks/Praise,Thanks/Praise
7/20/2022,,,,,5,Love getting books from here! It would be great if we could search by type of book such as nonfiction. My students always love getting books from here!,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,Please offer free shipping to  home.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,Many of the books I wanted to order were no longer available.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,I love that we can get 10 books for $10. That's always what I get so I can give my kids a book a month.,Thanks/Praise,Thanks/Praise
7/20/2022,,,,,3,"I wish there was a way to view ""all picture books"" or ""all chapter books. If there is a way, I have not been able to figure it out.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,Where is the fall/Halloween section. Nothing comes up...,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,I'm hoping that since all the craziness of last year everything is back to normal and I will start getting my stuff in a timely manner again.   I love having the points to put towards free books for my classroom.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,Last year I did not continue to share order forms with my families due to shipping wait time.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,I did not intend to sign up for paper flyers.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,"I haven't been on the site in a long time and I was very disappointed with the selection for bonus points items. I had saved up my points in order to get practical items for the classroom such as a new electric pencil sharpener, or music player.  In the past your site offered these kind of larger items that teachers often need and pay for with their personal funds.  These kind of items should always be offered in my opinion, I had 6,151 points to spend and walked away with junk.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,I just had to update  my credit card information with a new expiration date.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,"It is frustrating that is still charges tax for a public school. We are tax exempt. I have an outstanding balance because on a previous order where the taxes were not removed. Other than the tax issue, scholastic is one of my favorites. The site is easy to navigate, always has a great selection at fair prices.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,"I placed an order over $25 and was still unable to get the promo code 'reads' to work, despite the fact that a promo kept popping up with that code. I was unable to get the free book and just place the order without. Is the code not working?",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,I tried to apply the code for the free book multiple times with different books that totaled above $25 and was unable to apply the code.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,Thanks you for lowering free shipping total to $25 again.,Thanks/Praise,Thanks/Praise
7/20/2022,,,,,5,some items not available - where's the tech??,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,4,"the coupon code ""Reads"" did not work",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,"I was not able to use the coupon code for the free book, READS.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,"I love that I am able to order books for my classroom at a decent price, & my students families can also do that same.",Thanks/Praise,Thanks/Praise
7/20/2022,,,,,3,Please have more Spanish books! I would like to see a wider selection of Spanish books (fiction/nonfiction).,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,3,It was painfully slow to load the pages.  Remember the days of dial-up internet?  It was that bad all day.  (I tried more than once.).  It's just your website that's slow.  Other sites are fine and fast.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,"Affordable books, easy to use website.  I should receive some bonus points for completing  the survey.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,2,The site lost items in my cart. I have a credit on a gift card and it did not  appear.,Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,1,"I have never had so many problems as I have had this past school year. I did a classroom campaign to raise money for books for my students. When I go back and look at every order I placed, it says the total was one thing, but I ended up paying a few dollars over that. I would never do that unless the original total had told me that's what it was. I received a handful of emails throughout the school year telling me I owed money for orders, when I paid straight away with the money in my classroom funds. This is ridiculous. I hate that I don't even want to use this website anymore because the kids love when they get free books from me. I have done this the last four years. But, the hassle everything has been this year is not worth it.",Not Thanks/Praise,Not Thanks/Praise
7/20/2022,,,,,5,"I just want you to know how much we appreciate your site.  Buying books for a classroom library can be expensive and daunting.  You've made the process so easy!  Also... Thank you, Joy, for helping me get my account straightened out.  I truly appreciate you.",Thanks/Praise,Thanks/Praise
